# pip list -o

Package            Version     Latest   Type
------------------ ----------- -------- -----
alembic            1.9.2       1.10.4   wheel
beautifulsoup4     4.11.2      4.12.2   wheel
certifi            2022.12.7   2023.5.7 wheel
charset-normalizer 3.0.1       3.1.0    wheel
Flask              2.2.2       2.3.2    wheel
Flask-Migrate      4.0.2       4.0.4    wheel
Flask-SQLAlchemy   3.0.2       3.0.3    wheel
greenlet           2.0.1       2.0.2    wheel
pip                23.0        23.1.2   wheel
psycopg2-binary    2.9.5       2.9.6    wheel
requests           2.28.2      2.30.0   wheel
setuptools         65.6.3      67.7.2   wheel
soupsieve          2.3.2.post1 2.4.1    wheel
SQLAlchemy         1.4.46      2.0.12   wheel
urllib3            1.26.14     2.0.2    wheel
Werkzeug           2.2.2       2.3.4    wheel
wheel              0.38.4      0.40.0   wheel
